factor,har_intercept,har_daily,har_weekly,har_monthly,garch_omega,garch_alpha,garch_beta,loglikelihood,loglikelihood_oos,mse_train,mse_test,persistence
L_PC_GOOGL_1,0.015095501627317542,0.6951199054234247,0.2248721231614513,0.0335203542798663,0.001657305094724912,0.0,0.9918688480004804,-6562.397016696061,-170.59300849079347,0.26553144743003004,0.22998901771619595,0.9918688480004804
L_PC_GOOGL_2,-0.005630491121036217,0.6754623993183934,0.21398079898609978,-0.017465840664902962,0.011679348923620474,0.122750467359858,0.7668033703431637,-5949.331049105025,-55.652817941992765,0.10607124335724323,0.09392590686447383,0.8895538377030217
L_PC_GOOGL_3,0.001162593809615708,0.34248158192026934,0.6528359849815956,-0.15774282479771412,0.05712446348854237,0.09878578368064204,0.0,-5720.281572622716,18.562482094875353,0.06345586091304867,0.049557916545539364,0.09878578368064204
L_PC_GOOGL_4,4.2422410299346874e-05,0.6154016155958696,0.3796760789611846,-0.056342145998426074,0.00013960107094195223,0.03685624430682161,0.9563946154246754,-4926.4295133982,144.0097110829409,0.018432655219908327,0.017942761877986945,0.9932508597314971
L_PC_IWM_1,0.007424452326522474,0.8063264338073465,0.17232985183478544,-0.005793557772191718,0.0015211408414489253,0.036758956172535155,0.9437704057486177,-5927.635640964521,28.841510128137344,0.1184652934456534,0.046370485803139086,0.9805293619211528
L_PC_IWM_2,-0.0036185514006871755,0.4481055641208183,0.5219045801177565,-0.006937812770262841,0.0008731126280016472,0.048784637087705196,0.9424945625035428,-5954.474283170033,-34.830080302015936,0.10046503065386642,0.0760830655128634,0.991279199591248
L_PC_IWM_3,-0.008014967824296098,0.5622538075580665,0.28902432101613185,0.06643272141887172,0.0038567114034850575,0.08936831625274687,0.8851829283335311,-6168.8132828040125,-19.987143461552492,0.17964807125981375,0.06674502495549256,0.974551244586278
L_PC_JPM_1,-0.008436288747924986,0.6742186617900101,0.2762272540000563,0.00597221117336133,0.0011105563758595815,0.0,0.9947827676368857,-6581.940634300424,-147.7358557838278,0.26322023368456493,0.19171100223249551,0.9947827676368857
L_PC_JPM_2,0.002533249228903805,0.47543919448877603,0.3679909382738475,-0.08292281380944222,0.0020909877190255573,0.05244354211332187,0.9363411547007646,-6268.354852964556,-116.59213016896645,0.18131680928850602,0.14513280347830565,0.9887846968140865
L_PC_JPM_3,-0.0007254119332774948,0.352883298304837,0.620267460856074,-0.0915031498968839,0.00023114565888982712,0.034887086538787776,0.9623048637530517,-5590.855632033368,31.121502304715975,0.05593809137427605,0.04449142222736992,0.9971919502918395
