factor,har_intercept,har_daily,har_weekly,har_monthly,garch_omega,garch_alpha,garch_beta,loglikelihood,persistence
G_PC_NVDA_1,0.8395225317471073,0.7406265577498842,0.2142255073659182,0.017778824672255167,1.2778751683553662,0.172828934085036,0.7581195301506134,-3372.6089505756663,0.9309484642356494
G_PC_NVDA_2,-0.4421906755392655,0.4160977543262385,0.4978011223595335,0.0033753469856215856,1.2515703058541914,0.1589798889894174,0.7809988455571689,-3442.306016519549,0.9399787345465863
G_PC_NVDA_3,-0.04196582109427427,0.4950111945724264,0.44259958209700717,-0.009458502101364397,0.5074276644228175,0.18307914586905322,0.7571901589360255,-2822.821226261774,0.9402693048050788
G_PC_QQQ_1,-0.15041118832189326,0.7282224298937846,0.26436834232694784,-0.00414463601393289,0.06957905350522181,0.10771860782362032,0.8679145159633012,-2228.2263043763865,0.9756331237869215
G_PC_QQQ_2,0.04287799033019013,0.5078697769215914,0.41975134996053887,0.019741929447694484,0.018292652229790363,0.020353389936867864,0.9700876475154452,-2271.230759068259,0.990441037452313
G_PC_QQQ_3,-0.2762234758119959,0.7334878147449646,0.18631966255044155,0.021699800230841143,0.008512574397820286,0.048046383052955374,0.9385643631834941,-1478.1537581071648,0.9866107462364495
G_PC_SPY_1,-0.37199444471950116,0.6605575536822794,0.3412610069268748,-0.020252556018449996,0.13585340187410452,0.20721198186452605,0.7827350657009982,-2348.2048314783615,0.9899470475655242
G_PC_SPY_2,0.1785709027486555,0.5249736178410759,0.36220903238405855,0.02754300292321521,0.05713703847141188,0.013050254869917302,0.9661288261898959,-2515.294861115431,0.9791790810598132
G_PC_SPY_3,-0.21906002017269888,0.6538126747560995,0.19027584457033353,0.11514923651767979,0.02279632677120809,0.08639723041045186,0.8917259733152493,-1650.4015177941596,0.9781232037257012
G_PC_TLT_1,-0.670743623941199,0.6056523203278691,0.36066028891284607,0.003665384759904522,0.036593551538449356,0.06913347297438621,0.9249282153488774,-2642.1553112370634,0.9940616883232636
G_PC_TLT_2,-0.2014901744551545,0.44278377060643104,0.3731120044809601,0.093915564879303,0.026263390989014083,0.06776510834685746,0.9320715402765501,-2778.3188942148636,0.9998366486234076
G_PC_TLT_3,0.36271800856100445,0.4520795643251876,0.40660715410848797,0.07179701987056727,0.027857483633393125,0.10626871729121377,0.8937312827087666,-2481.3804901521353,0.9999999999999803
G_PC_TSLA_1,0.9588747582647414,0.8046959166937595,0.16300604914958383,0.013469817814128981,0.1232969312846094,0.01480202191084396,0.9747396100447059,-3492.000706118624,0.9895416319555499
G_PC_TSLA_2,-0.7696602924885889,0.4463435265829874,0.484183984509776,-0.09075741022285622,0.13515894066794928,0.012544128876886303,0.9768784380928268,-3461.1426947593523,0.9894225669697131
