Edge,Family,Rotation,NLL,AIC,BIC
T3_E49,Indep,0,0.0,0.0,0.0
T3_E50,Bicopfamily.clayton,90,-2.2882798109856455,1455.4234403780288,5180.247970093522
T3_E51,Bicopfamily.frank,0,-14.012222038083298,175.9755559238334,696.4304902128476
T3_E52,Indep,0,0.0,0.0,0.0
T3_E53,Bicopfamily.frank,0,-61.122877442151506,81.75424511569699,602.2091794047112
T3_E54,Indep,0,0.0,0.0,0.0
T3_E55,Indep,0,0.0,0.0,0.0
T3_E56,Indep,0,0.0,0.0,0.0
T3_E57,Indep,0,0.0,0.0,0.0
T4_E0,Indep,0,0.0,0.0,0.0
T4_E1,Bicopfamily.student,0,4.43645807812425,1470.8729161562485,5200.799945227517
T4_E2,Bicopfamily.frank,0,-26.4849443576462,151.0301112847076,671.4850455737218
T4_E3,Indep,0,0.0,0.0,0.0
T4_E4,Indep,0,0.0,0.0,0.0
T4_E5,Bicopfamily.student,0,7.072546528059733,1476.1450930561195,5206.072122127388
T4_E6,Bicopfamily.clayton,90,-1.5100972669999846,1456.979805466,5181.804335181494
T4_E7,Indep,0,0.0,0.0,0.0
T4_E8,Bicopfamily.gumbel,0,-8.866419830699929,1442.2671603386002,5167.091690054093
T4_E9,Indep,0,0.0,0.0,0.0
T4_E10,Bicopfamily.student,0,3.2447506784337574,1468.4895013568675,5198.416530428136
T4_E11,Indep,0,0.0,0.0,0.0
T4_E12,Indep,0,0.0,0.0,0.0
T4_E13,Indep,0,0.0,0.0,0.0
T4_E14,Bicopfamily.gumbel,270,-0.3356023678351106,1459.3287952643298,5184.153324979823
T4_E15,Bicopfamily.frank,0,-11.642019656430907,180.7159606871382,701.1708949761523
T4_E16,Bicopfamily.gaussian,0,-28.217936050343724,539.5641278993126,2060.108935920158
T4_E17,Indep,0,0.0,0.0,0.0
T4_E18,Bicopfamily.gumbel,270,-2.928841344723966,1454.142317310552,5178.966847026046
T4_E19,Indep,0,0.0,0.0,0.0
T4_E20,Indep,0,0.0,0.0,0.0
T4_E21,Indep,0,0.0,0.0,0.0
T4_E22,Indep,0,0.0,0.0,0.0
T4_E23,Bicopfamily.student,0,-3.455334043649554,1455.0893319127008,5185.016360983969
T4_E24,Indep,0,0.0,0.0,0.0
T4_E25,Indep,0,0.0,0.0,0.0
T4_E26,Bicopfamily.frank,0,-34.24145114067558,135.51709771864884,655.9720320076631
T4_E27,Bicopfamily.clayton,180,0.9489749161121375,1461.8979498322242,5186.722479547718
T4_E28,Indep,0,0.0,0.0,0.0
T4_E29,Indep,0,0.0,0.0,0.0
T4_E30,Indep,0,0.0,0.0,0.0
T4_E31,Bicopfamily.student,0,-564.9313656603235,332.1372686793529,4062.0642977506213
T4_E32,Bicopfamily.clayton,270,-17.542221236020065,1424.91555752796,5149.740087243454
T4_E33,Indep,0,0.0,0.0,0.0
T4_E34,Indep,0,0.0,0.0,0.0
T4_E35,Indep,0,0.0,0.0,0.0
T4_E36,Indep,0,0.0,0.0,0.0
T4_E37,Bicopfamily.clayton,270,9.865466734989823,1479.7309334699796,5204.555463185473
T4_E38,Bicopfamily.frank,0,-86.35764244984233,31.28471510031534,551.7396493893295
T4_E39,Indep,0,0.0,0.0,0.0
T4_E40,Bicopfamily.gaussian,0,-91.57716552243858,412.84566895512285,1933.390476975968
T4_E41,Bicopfamily.frank,0,-9.90631699261486,184.18736601477028,704.6423003037845
T4_E42,Indep,0,0.0,0.0,0.0
T4_E43,Bicopfamily.clayton,0,8.865771725405729,1477.7315434508114,5202.556073166305
T4_E44,Bicopfamily.student,0,-100.59266051978142,1260.814678960437,4990.7417080317055
