Edge,Family,Rotation,NLL,AIC,BIC
T3_E48,Bicopfamily.student,0,-2.782850370961941,148.43429925807612,541.3267496527241
T3_E49,Bicopfamily.frank,0,-70.45493630024133,455.0901273995173,1975.6349354203626
T3_E50,Bicopfamily.student,0,-9.661698707507,134.676602584986,527.569052979634
T3_E51,Bicopfamily.gumbel,0,5.538318388475139,47.07663677695028,138.92162518089395
T3_E52,Bicopfamily.gumbel,0,-0.2956358112068892,35.40872837758622,127.25371678152989
T3_E53,Bicopfamily.student,0,-36.75679283696445,80.4864143260711,473.3788647207191
T3_E54,Indep,0,0.0,0.0,0.0
T3_E55,Indep,0,0.0,0.0,0.0
T3_E56,Bicopfamily.frank,0,-398.6574092311728,-201.31481846234556,1319.2299895584997
T3_E57,Bicopfamily.clayton,90,5.4947838942010705,606.9895677884022,2127.534375809247
T4_E0,Bicopfamily.frank,0,-42.08663049098046,511.82673901803906,2032.3715470388843
T4_E1,Indep,0,0.0,0.0,0.0
T4_E2,Indep,0,0.0,0.0,0.0
T4_E3,Bicopfamily.student,0,2.718537606903201,159.4370752138064,552.3295256084544
T4_E4,Indep,0,0.0,0.0,0.0
T4_E5,Bicopfamily.clayton,270,-45.688929038628636,504.62214192274274,2025.166949943588
T4_E6,Bicopfamily.student,0,3.474606086551129,160.94921217310227,553.8416625677503
T4_E7,Indep,0,0.0,0.0,0.0
T4_E8,Bicopfamily.student,0,-1.3063487945185333,151.38730241096295,544.2797528056109
T4_E9,Indep,0,0.0,0.0,0.0
T4_E10,Bicopfamily.frank,0,-84.25026012394096,427.4994797521181,1948.0442877729633
T4_E11,Indep,0,0.0,0.0,0.0
T4_E12,Indep,0,0.0,0.0,0.0
T4_E13,Indep,0,0.0,0.0,0.0
T4_E14,Bicopfamily.gumbel,270,12.067908811620715,60.13581762324143,151.9808060271851
T4_E15,Bicopfamily.clayton,90,-7.006954659688496,581.986090680623,2102.5308987014682
T4_E16,Bicopfamily.student,0,2.490838728360629,158.98167745672126,551.8741278513693
T4_E17,Bicopfamily.student,0,0.853242546280679,155.70648509256137,548.5989354872094
T4_E18,Indep,0,0.0,0.0,0.0
T4_E19,Indep,0,0.0,0.0,0.0
T4_E20,Bicopfamily.student,0,-1.2241482713207243,151.55170345735854,544.4441538520066
T4_E21,Bicopfamily.clayton,90,-29.615345027628816,536.7693099447424,2057.3141179655877
T4_E22,Bicopfamily.frank,0,-268.470259146269,59.059481707462055,1579.6042897283073
T4_E23,Bicopfamily.clayton,180,1.8997340945790964,599.7994681891582,2120.3442762100035
T4_E24,Indep,0,0.0,0.0,0.0
T4_E25,Indep,0,0.0,0.0,0.0
T4_E26,Bicopfamily.frank,0,-82.71035810727959,430.5792837854408,1951.124091806286
T4_E27,Bicopfamily.gumbel,270,-2.450445245417148,31.099109509165704,122.94409791310937
T4_E28,Indep,0,0.0,0.0,0.0
T4_E29,Indep,0,0.0,0.0,0.0
T4_E30,Indep,0,0.0,0.0,0.0
T4_E31,Indep,0,0.0,0.0,0.0
T4_E32,Bicopfamily.frank,0,-133.8965422008166,328.2069155983668,1848.751723619212
T4_E33,Bicopfamily.gumbel,180,0.8970604317518598,37.79412086350372,129.6391092674474
T4_E34,Indep,0,0.0,0.0,0.0
T4_E35,Indep,0,0.0,0.0,0.0
T4_E36,Bicopfamily.frank,0,-110.71304967282046,374.5739006543591,1895.1187086752043
T4_E37,Bicopfamily.student,0,-7.485555754009772,139.02888849198047,531.9213388866284
T4_E38,Bicopfamily.student,0,-0.5416737734568797,152.91665245308624,545.8091028477343
T4_E39,Indep,0,0.0,0.0,0.0
T4_E40,Bicopfamily.gumbel,180,-58.202929270525445,-80.40585854105089,11.439129862892784
T4_E41,Bicopfamily.clayton,0,-84.4298632258089,427.1402735483822,1947.6850815692273
T4_E42,Indep,0,0.0,0.0,0.0
T4_E43,Bicopfamily.frank,0,-8.962011059051314,578.0759778818974,2098.6207859027427
T4_E44,Bicopfamily.frank,0,-37.89080159043295,520.2183968191341,2040.7632048399794
T4_E45,Indep,0,0.0,0.0,0.0
T4_E46,Bicopfamily.student,0,3.7840368767048007,161.5680737534096,554.4605241480576
T4_E47,Indep,0,0.0,0.0,0.0
T4_E48,Bicopfamily.student,0,-2.7796068181774984,148.440786363645,541.333236758293
T4_E49,Bicopfamily.gumbel,90,-27.631223329581506,-19.26244665916301,72.58254174478066
T4_E50,Indep,0,0.0,0.0,0.0
T4_E51,Bicopfamily.student,0,-6.934823647458255,140.13035270508348,533.0228030997315
T4_E52,Bicopfamily.clayton,180,-19.03561798796618,557.9287640240676,2078.473572044913
T4_E53,Indep,0,0.0,0.0,0.0
T4_E54,Bicopfamily.student,0,-12.804326318052379,128.39134736389525,521.2837977585432
T4_E55,Indep,0,0.0,0.0,0.0
T4_E56,Indep,0,0.0,0.0,0.0
T5_E0,Indep,0,0.0,0.0,0.0
T5_E1,Indep,0,0.0,0.0,0.0
T5_E2,Bicopfamily.student,0,-22.02450366363005,109.9509926727399,502.8434430673879
T5_E3,Indep,0,0.0,0.0,0.0
T5_E4,Bicopfamily.student,0,-3.2200469491339567,147.55990610173208,540.45235649638
T5_E5,Bicopfamily.frank,0,-54.66419682019823,486.6716063596035,2007.216414380449
T5_E6,Bicopfamily.gaussian,0,-1.783535525612045,148.4329289487759,536.2228799876492
T5_E7,Indep,0,0.0,0.0,0.0
T5_E8,Indep,0,0.0,0.0,0.0
T5_E9,Bicopfamily.student,0,5.447412334334299,164.8948246686686,557.7872750633165
T5_E10,Indep,0,0.0,0.0,0.0
T5_E11,Indep,0,0.0,0.0,0.0
T5_E12,Bicopfamily.gaussian,0,-10.340398425965926,131.31920314806814,519.1091541869414
T5_E13,Indep,0,0.0,0.0,0.0
T5_E14,Indep,0,0.0,0.0,0.0
T5_E15,Bicopfamily.frank,0,-117.31789023280291,361.3642195343942,1881.9090275552394
T5_E16,Bicopfamily.student,0,1.243205664783759,156.48641132956752,549.3788617242155
T5_E17,Indep,0,0.0,0.0,0.0
T5_E18,Bicopfamily.student,0,-62.82040914003934,28.359181719921324,421.2516321145693
T5_E19,Indep,0,0.0,0.0,0.0
T5_E20,Indep,0,0.0,0.0,0.0
T5_E21,Bicopfamily.gaussian,0,-11.056575628529806,129.8868487429404,517.6767997818137
T5_E22,Bicopfamily.gumbel,270,5.460644819943153,46.921289639886304,138.76627804382997
T5_E23,Indep,0,0.0,0.0,0.0
T5_E24,Bicopfamily.clayton,270,1.8367372846466257,599.6734745692933,2120.2182825901386
T5_E25,Bicopfamily.student,0,0.46855474276714104,154.93710948553428,547.8295598801823
T5_E26,Indep,0,0.0,0.0,0.0
T5_E27,Indep,0,0.0,0.0,0.0
T5_E28,Bicopfamily.gumbel,270,-1.5351170090461888,32.92976598190762,124.7747543858513
T5_E29,Bicopfamily.student,0,7.376682313909397,168.7533646278188,561.6458150224668
T5_E30,Indep,0,0.0,0.0,0.0
T5_E31,Indep,0,0.0,0.0,0.0
T5_E32,Indep,0,0.0,0.0,0.0
T5_E33,Bicopfamily.frank,0,-54.234030499676905,487.53193900064616,2008.0767470214914
T5_E34,Bicopfamily.student,0,-15.18220909430009,123.63558181139982,516.5280322060478
T5_E35,Bicopfamily.clayton,90,0.09325793798077539,596.1865158759615,2116.7313238968068
T5_E36,Indep,0,0.0,0.0,0.0
T5_E37,Bicopfamily.student,0,-12.044329691572926,129.91134061685415,522.8037910115022
T5_E38,Indep,0,0.0,0.0,0.0
T5_E39,Indep,0,0.0,0.0,0.0
T5_E40,Indep,0,0.0,0.0,0.0
T5_E41,Bicopfamily.gumbel,90,-28.339389843143657,-20.678779686287314,71.16620871765636
T5_E42,Indep,0,0.0,0.0,0.0
T5_E43,Indep,0,0.0,0.0,0.0
T5_E44,Indep,0,0.0,0.0,0.0
T5_E45,Indep,0,0.0,0.0,0.0
T5_E46,Indep,0,0.0,0.0,0.0
T5_E47,Indep,0,0.0,0.0,0.0
T5_E48,Bicopfamily.student,0,19.613617090408738,193.22723418081748,586.1196845754655
T5_E49,Bicopfamily.student,0,-29.673145760813973,94.65370847837205,487.54615887302003
T5_E50,Bicopfamily.frank,0,-76.5375493756887,442.92490124862263,1963.4697092694678
T5_E51,Indep,0,0.0,0.0,0.0
T5_E52,Bicopfamily.clayton,180,-57.4264736274303,481.1470527451394,2001.6918607659848
T5_E53,Bicopfamily.frank,0,-81.78333203567396,432.43333592865207,1952.9781439494973
T5_E54,Bicopfamily.gaussian,0,-3.9531344399134527,144.0937311201731,531.8836821590463
T5_E55,Bicopfamily.student,0,-6.012954420243027,141.97409115951393,534.8665415541619
T6_E0,Indep,0,0.0,0.0,0.0
T6_E1,Indep,0,0.0,0.0,0.0
T6_E2,Indep,0,0.0,0.0,0.0
T6_E3,Indep,0,0.0,0.0,0.0
T6_E4,Bicopfamily.frank,0,-122.30750524413958,351.38498951172085,1871.9297975325662
T6_E5,Indep,0,0.0,0.0,0.0
T6_E6,Indep,0,0.0,0.0,0.0
T6_E7,Bicopfamily.frank,0,-65.39993594813525,465.2001281037295,1985.7449361245747
T6_E8,Bicopfamily.student,0,-2.3849008145223807,149.23019837095524,542.1226487656032
T6_E9,Indep,0,0.0,0.0,0.0
T6_E10,Indep,0,0.0,0.0,0.0
T6_E11,Indep,0,0.0,0.0,0.0
T6_E12,Indep,0,0.0,0.0,0.0
T6_E13,Indep,0,0.0,0.0,0.0
T6_E14,Bicopfamily.student,0,-17.488862973740503,119.022274052519,511.914724447167
T6_E15,Bicopfamily.frank,0,-51.200368865702885,493.5992622685942,2014.1440702894395
T6_E16,Bicopfamily.student,0,0.8096509798927798,155.61930195978556,548.5117523544336
T6_E17,Bicopfamily.gaussian,0,-1.5771722826143533,148.8456554347713,536.6356064736445
T6_E18,Indep,0,0.0,0.0,0.0
T6_E19,Bicopfamily.student,0,6.463784754248844,166.9275695084977,559.8200199031456
T6_E20,Bicopfamily.student,0,5.629194740889118,165.25838948177824,558.1508398764262
T6_E21,Indep,0,0.0,0.0,0.0
T6_E22,Indep,0,0.0,0.0,0.0
T6_E23,Indep,0,0.0,0.0,0.0
T6_E24,Indep,0,0.0,0.0,0.0
T6_E25,Indep,0,0.0,0.0,0.0
T6_E26,Bicopfamily.student,0,2.505125813179811,159.01025162635963,551.9027020210076
T6_E27,Indep,0,0.0,0.0,0.0
T6_E28,Indep,0,0.0,0.0,0.0
T6_E29,Indep,0,0.0,0.0,0.0
T6_E30,Indep,0,0.0,0.0,0.0
T6_E31,Indep,0,0.0,0.0,0.0
T6_E32,Indep,0,0.0,0.0,0.0
T6_E33,Indep,0,0.0,0.0,0.0
T6_E34,Bicopfamily.gaussian,0,-0.04248684967524369,151.91502630064952,539.7049773395228
T6_E35,Indep,0,0.0,0.0,0.0
T6_E36,Indep,0,0.0,0.0,0.0
T6_E37,Indep,0,0.0,0.0,0.0
T6_E38,Indep,0,0.0,0.0,0.0
T6_E39,Bicopfamily.frank,0,-53.92630364537804,488.14739270924395,2008.692200730089
T6_E40,Bicopfamily.student,0,-2.837609973368652,148.32478005326269,541.2172304479107
T6_E41,Bicopfamily.student,0,-99.67761318563228,-45.355226371264564,347.53722402338343
T6_E42,Indep,0,0.0,0.0,0.0
T6_E43,Bicopfamily.student,0,-3.6384329443091996,146.7231341113816,539.6155845060296
T6_E44,Indep,0,0.0,0.0,0.0
T6_E45,Bicopfamily.student,0,-2.2180570496479053,149.56388590070418,542.4563362953522
T6_E46,Indep,0,0.0,0.0,0.0
T6_E47,Bicopfamily.clayton,90,-5.905979764031812,584.1880404719363,2104.7328484927816
T6_E48,Bicopfamily.frank,0,-107.75480093668466,380.4903981266307,1901.035206147476
T6_E49,Bicopfamily.gumbel,90,-1.763474975769764,32.47305004846047,124.31803845240415
T6_E50,Bicopfamily.frank,0,-84.54736127620771,426.9052774475846,1947.4500854684297
T6_E51,Bicopfamily.frank,0,-125.33634719335562,345.3273056132888,1865.872113634134
T6_E52,Indep,0,0.0,0.0,0.0
T6_E53,Indep,0,0.0,0.0,0.0
T6_E54,Indep,0,0.0,0.0,0.0
T7_E0,Bicopfamily.student,0,-11.992339303706501,130.015321392587,522.907771787235
T7_E1,Indep,0,0.0,0.0,0.0
T7_E2,Indep,0,0.0,0.0,0.0
T7_E3,Indep,0,0.0,0.0,0.0
T7_E4,Indep,0,0.0,0.0,0.0
T7_E5,Bicopfamily.student,0,-34.56328486263858,84.87343027472284,477.76588066937086
T7_E6,Bicopfamily.gaussian,0,-31.612513403536777,88.77497319292644,476.5649242317997
T7_E7,Indep,0,0.0,0.0,0.0
T7_E8,Bicopfamily.gumbel,0,1.4178772496199081,38.83575449923982,130.6807429031835
T7_E9,Indep,0,0.0,0.0,0.0
T7_E10,Indep,0,0.0,0.0,0.0
T7_E11,Indep,0,0.0,0.0,0.0
T7_E12,Indep,0,0.0,0.0,0.0
T7_E13,Indep,0,0.0,0.0,0.0
T7_E14,Indep,0,0.0,0.0,0.0
T7_E15,Indep,0,0.0,0.0,0.0
T7_E16,Indep,0,0.0,0.0,0.0
T7_E17,Indep,0,0.0,0.0,0.0
T7_E18,Bicopfamily.gaussian,0,-1.9712388316325555,148.05752233673488,535.8474733756082
T7_E19,Bicopfamily.gumbel,90,2.219642988746687,40.43928597749338,132.28427438143706
T7_E20,Indep,0,0.0,0.0,0.0
T7_E21,Indep,0,0.0,0.0,0.0
T7_E22,Indep,0,0.0,0.0,0.0
T7_E23,Bicopfamily.student,0,-15.78252019060869,122.43495961878261,515.3274100134306
T7_E24,Indep,0,0.0,0.0,0.0
T7_E25,Indep,0,0.0,0.0,0.0
T7_E26,Bicopfamily.frank,0,-69.05745226944208,457.88509546111584,1978.429903481961
T7_E27,Indep,0,0.0,0.0,0.0
T7_E28,Bicopfamily.clayton,270,-0.7519513903735091,594.496097219253,2115.0409052400983
T7_E29,Bicopfamily.gaussian,0,-2.161666778777942,147.67666644244412,535.4666174813174
T7_E30,Indep,0,0.0,0.0,0.0
T7_E31,Indep,0,0.0,0.0,0.0
T7_E32,Indep,0,0.0,0.0,0.0
T7_E33,Bicopfamily.gumbel,90,-40.19005216405473,-44.380104328109454,47.46488407583422
T7_E34,Bicopfamily.gaussian,0,-0.9954353382028199,150.00912932359435,537.7990803624676
T7_E35,Bicopfamily.frank,0,-71.31955418302968,453.36089163394064,1973.9056996547858
T7_E36,Indep,0,0.0,0.0,0.0
T7_E37,Bicopfamily.frank,0,-87.12659773649968,421.7468045270007,1942.291612547846
T7_E38,Indep,0,0.0,0.0,0.0
T7_E39,Indep,0,0.0,0.0,0.0
T7_E40,Indep,0,0.0,0.0,0.0
T7_E41,Bicopfamily.gumbel,270,-1.7512784501007739,32.49744309979845,124.34243150374212
T7_E42,Indep,0,0.0,0.0,0.0
T7_E43,Bicopfamily.frank,0,-58.49096574505828,479.01806850988345,1999.5628765307288
T7_E44,Indep,0,0.0,0.0,0.0
T7_E45,Bicopfamily.student,0,5.666293300603076,165.33258660120615,558.2250369958541
T7_E46,Bicopfamily.frank,0,-47.92135567096157,500.1572886580769,2020.702096678922
T7_E47,Bicopfamily.gaussian,0,-14.080181457112175,123.83963708577565,511.6295881246489
T7_E48,Bicopfamily.frank,0,-78.83599770845872,438.3280045830826,1958.8728126039277
T7_E49,Bicopfamily.student,0,-5.353319146129951,143.2933617077401,536.1858121023881
T7_E50,Indep,0,0.0,0.0,0.0
T7_E51,Bicopfamily.student,0,-5.435274660912533,143.12945067817492,536.021901072823
T7_E52,Indep,0,0.0,0.0,0.0
T7_E53,Bicopfamily.student,0,-7.551730811446219,138.89653837710756,531.7889887717556
T8_E0,Indep,0,0.0,0.0,0.0
T8_E1,Indep,0,0.0,0.0,0.0
T8_E2,Indep,0,0.0,0.0,0.0
T8_E3,Bicopfamily.frank,0,-81.50401255689243,432.99197488621513,1953.5367829070603
T8_E4,Indep,0,0.0,0.0,0.0
T8_E5,Bicopfamily.frank,0,-73.9378347962281,448.12433040754377,1968.669138428389
T8_E6,Indep,0,0.0,0.0,0.0
T8_E7,Indep,0,0.0,0.0,0.0
T8_E8,Indep,0,0.0,0.0,0.0
T8_E9,Indep,0,0.0,0.0,0.0
T8_E10,Bicopfamily.student,0,4.080984313224246,162.1619686264485,555.0544190210965
T8_E11,Indep,0,0.0,0.0,0.0
T8_E12,Indep,0,0.0,0.0,0.0
T8_E13,Indep,0,0.0,0.0,0.0
T8_E14,Bicopfamily.gumbel,90,0.482068700456891,36.964137400913785,128.80912580485744
T8_E15,Indep,0,0.0,0.0,0.0
T8_E16,Indep,0,0.0,0.0,0.0
T8_E17,Indep,0,0.0,0.0,0.0
