Edge,Family,Rotation,Omega,A,B,Nu,NLL,AIC,BIC
T1_E6,Bicopfamily.student,0,-0.10966793447732925,-0.007707428652793169,0.924705982208252,7.220935821533203,-4.361018946765979,-0.722037893531958,19.687959529566637
T1_E7,Bicopfamily.student,0,0.0031694823410362005,-0.007543351035565138,0.9672235250473022,9.015162467956543,-3.1726847141366323,1.6546305717267353,22.06462799482533
T1_E8,Bicopfamily.gaussian,0,-0.019530300050973892,0.020677516236901283,0.957902193069458,,-4.0174684796441635,-2.034936959288327,13.272561108035621
T1_E9,Bicopfamily.student,0,-0.07514198869466782,0.026607606559991837,0.9723987579345703,15.080390930175781,-16.18644600656278,-24.372892013125558,-3.9628945900269628
T1_E10,Bicopfamily.gaussian,0,-0.033789150416851044,-0.00891107227653265,0.9669499397277832,,-1.4627552436300053,3.0744895127399894,18.38198758006394
T1_E11,Indep,0,0.0,0.0,0.0,,0.0,0.0,0.0
T1_E12,Bicopfamily.student,0,-0.08369483798742294,0.0029014702886343002,0.9852456450462341,6.841160774230957,-3.275529034706639,1.448941930586722,21.858939353685315
T1_E13,Bicopfamily.student,0,-0.024612566456198692,0.008858546614646912,0.9819709062576294,8.11588191986084,0.1715173920397346,8.34303478407947,28.753032207178066
T1_E14,Bicopfamily.student,0,-0.061788491904735565,0.007756187114864588,0.9132099747657776,13.766277313232422,-4.788399463638017,-1.5767989272760339,18.83319849582256
T1_E15,Bicopfamily.frank,0,-0.709838330745697,0.023429404944181442,0.9888463616371155,,-9.742615146846667,-13.485230293693334,1.8222677736306139
T1_E16,Bicopfamily.student,0,-0.0229058638215065,0.01222504023462534,0.9942248463630676,10.210771560668945,0.9329988686668149,9.865997737333629,30.275995160432224
T1_E17,Bicopfamily.student,0,-0.041953474283218384,0.006129180546849966,0.9466875791549683,11.701425552368164,3.7390151701641754,15.47803034032835,35.88802776342695
T1_E18,Bicopfamily.student,0,0.0796298235654831,-0.0006256239721551538,0.9595685601234436,15.867478370666504,-5.783423724508394,-3.5668474490167874,16.843149974081808
T1_E19,Bicopfamily.student,0,0.03251005336642265,0.01406992319971323,0.9587781429290771,18.662233352661133,-4.576034917478886,-1.1520698349577714,19.257927588140824
